<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,13/02/07,000000,267.0000000,276.4900000,265.0800000,274.7000000,58265148
GAZP,D,14/02/07,000000,278.9000000,281.8800000,276.8100000,281.8700000,53662551
GAZP,D,15/02/07,000000,281.1000000,282.9000000,278.0700000,278.9200000,29192158
GAZP,D,16/02/07,000000,279.5000000,283.3400000,276.5500000,282.5000000,34983360
GAZP,D,19/02/07,000000,283.5500000,286.6900000,283.2100000,283.5200000,30794920
GAZP,D,20/02/07,000000,284.0000000,284.4800000,278.5200000,278.5300000,25710508
GAZP,D,21/02/07,000000,279.4700000,282.1000000,278.8100000,280.2000000,20077547
GAZP,D,22/02/07,000000,282.5000000,283.4100000,281.0400000,282.0000000,17902962
GAZP,D,26/02/07,000000,284.1800000,285.8000000,282.7500000,284.9500000,29381271
GAZP,D,27/02/07,000000,283.2000000,283.4500000,272.3000000,276.3000000,42853889
GAZP,D,28/02/07,000000,270.4900000,270.9900000,262.0100000,267.4200000,68015400
GAZP,D,01/03/07,000000,266.2500000,270.4000000,249.0000000,256.7700000,76658669
GAZP,D,02/03/07,000000,258.5000000,261.4800000,253.7100000,260.9000000,64588937
GAZP,D,05/03/07,000000,249.7500000,250.5000000,239.8000000,250.0000000,68386538
GAZP,D,06/03/07,000000,253.8800000,256.4900000,251.8100000,253.5300000,48436861
GAZP,D,07/03/07,000000,256.5100000,257.8800000,250.2900000,254.0900000,39382622
GAZP,D,09/03/07,000000,260.1500000,268.5100000,259.6900000,264.8400000,66015531
GAZP,D,12/03/07,000000,264.0000000,268.2000000,259.7500000,261.0500000,47744392
GAZP,D,13/03/07,000000,261.9800000,264.1700000,257.5200000,260.3000000,54432098
GAZP,D,14/03/07,000000,248.9700000,254.8500000,243.0000000,253.8000000,84750948
GAZP,D,15/03/07,000000,256.5000000,258.8700000,251.7700000,255.4500000,43958919
GAZP,D,16/03/07,000000,254.1000000,256.4400000,253.1000000,254.6000000,27364878
GAZP,D,19/03/07,000000,257.1200000,258.5000000,254.4200000,258.0000000,35715128
GAZP,D,20/03/07,000000,259.0000000,259.5500000,251.5300000,254.5000000,45908877
GAZP,D,21/03/07,000000,255.0000000,255.0000000,251.0100000,253.1200000,27765051
GAZP,D,22/03/07,000000,257.6000000,263.1900000,254.2500000,260.4900000,79654893
GAZP,D,23/03/07,000000,261.7000000,269.5600000,259.5500000,269.2000000,70596008
GAZP,D,26/03/07,000000,270.0100000,275.4000000,270.0000000,274.5000000,71982429
GAZP,D,27/03/07,000000,272.0000000,273.2900000,267.7800000,268.8100000,61571328
GAZP,D,28/03/07,000000,269.9000000,274.7000000,268.5500000,271.9700000,58006377
GAZP,D,29/03/07,000000,270.1500000,274.4200000,270.0100000,273.8000000,39682479
GAZP,D,30/03/07,000000,276.5000000,277.4500000,269.8000000,270.9800000,44879961
GAZP,D,02/04/07,000000,270.9800000,271.2900000,267.3000000,269.4800000,19490671
GAZP,D,03/04/07,000000,270.7000000,271.0000000,265.1500000,266.7700000,22992420
GAZP,D,04/04/07,000000,268.1000000,272.6000000,267.0100000,268.6000000,35112056
GAZP,D,05/04/07,000000,269.7700000,270.9000000,268.4000000,270.2200000,18285011
GAZP,D,06/04/07,000000,270.1800000,270.2200000,267.5400000,267.8900000,17673924
GAZP,D,09/04/07,000000,269.1900000,271.9000000,268.3000000,269.2500000,23367369
