<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MGNT,D,13/02/07,000000,1045.0000000,1120.0000000,1045.0000000,1109.0000000,2100
MGNT,D,14/02/07,000000,1111.0000000,1124.0000000,1083.0000000,1083.0000000,8900
MGNT,D,15/02/07,000000,1055.0400000,1100.0000000,1055.0400000,1072.0000000,5100
MGNT,D,16/02/07,000000,1078.0000000,1080.0000000,1072.0000000,1079.0000000,3600
MGNT,D,19/02/07,000000,1080.0000000,1086.0000000,1075.0000000,1075.0000000,14100
MGNT,D,20/02/07,000000,1070.2000000,1118.9000000,1070.0000000,1070.0000000,11000
MGNT,D,21/02/07,000000,1074.9900000,1099.0000000,1060.0000000,1069.8000000,9100
MGNT,D,22/02/07,000000,1071.9000000,1099.0000000,1071.0000000,1084.0000000,5600
MGNT,D,26/02/07,000000,1080.0000000,1081.0000000,1070.0000000,1076.1000000,3200
MGNT,D,27/02/07,000000,1071.1200000,1098.5000000,1065.0100000,1070.0000000,7400
MGNT,D,28/02/07,000000,1060.0000000,1065.0000000,1030.0000000,1031.0000000,8200
MGNT,D,01/03/07,000000,1058.0000000,1065.0000000,1030.0100000,1035.0000000,1800
MGNT,D,02/03/07,000000,1087.4000000,1087.8000000,1020.0000000,1050.0000000,2800
MGNT,D,05/03/07,000000,935.0000000,1010.0000000,935.0000000,1000.0000000,5700
MGNT,D,06/03/07,000000,995.0000000,1037.0000000,995.0000000,1025.0000000,1200
MGNT,D,07/03/07,000000,1030.0000000,1045.0000000,1030.0000000,1040.0000000,1100
MGNT,D,09/03/07,000000,1090.0000000,1090.0000000,1080.0000000,1089.9900000,1500
MGNT,D,12/03/07,000000,1090.0000000,1090.0000000,1080.0000000,1090.0000000,800
MGNT,D,13/03/07,000000,1089.0000000,1090.0000000,1065.0000000,1065.0000000,600
MGNT,D,14/03/07,000000,1050.0000000,1050.0000000,1015.0000000,1030.0000000,900
MGNT,D,15/03/07,000000,1055.0000000,1090.0000000,1055.0000000,1074.9900000,1500
MGNT,D,16/03/07,000000,1080.0000000,1086.6300000,1080.0000000,1086.6300000,1800
MGNT,D,19/03/07,000000,1052.0000000,1084.0000000,1052.0000000,1076.0000000,6400
MGNT,D,20/03/07,000000,1089.9900000,1100.0000000,1085.0000000,1100.0000000,7100
MGNT,D,21/03/07,000000,1100.0000000,1120.0000000,1100.0000000,1120.0000000,4900
MGNT,D,22/03/07,000000,1120.0000000,1135.0000000,1117.0000000,1128.0000000,5600
MGNT,D,23/03/07,000000,1130.0000000,1130.0000000,1122.0000000,1124.0000000,1400
MGNT,D,26/03/07,000000,1127.0000000,1137.0000000,1124.0100000,1125.0000000,403
MGNT,D,27/03/07,000000,1123.0000000,1134.9900000,1100.0000000,1129.0000000,2490
MGNT,D,28/03/07,000000,1120.0000000,1127.0000000,1108.0000000,1120.0000000,8424
MGNT,D,29/03/07,000000,1123.0000000,1128.0000000,1123.0000000,1127.0000000,941
MGNT,D,30/03/07,000000,1129.0000000,1185.0000000,1125.0000000,1125.5000000,7782
MGNT,D,02/04/07,000000,1132.0000000,1132.0000000,1120.0200000,1125.0000000,10101
MGNT,D,03/04/07,000000,1123.0000000,1150.0000000,1051.0000000,1126.9800000,8365
MGNT,D,04/04/07,000000,1129.0000000,1130.0000000,1123.0000000,1130.0000000,3344
MGNT,D,05/04/07,000000,1131.9500000,1140.0000000,1120.0000000,1139.9000000,6947
MGNT,D,06/04/07,000000,1140.0000000,1150.0000000,1125.0100000,1149.0000000,4220
MGNT,D,09/04/07,000000,1149.0000000,1150.0000000,1132.0000000,1140.0000000,24406
MGNT,D,10/04/07,000000,1144.9900000,1144.9900000,1136.0000000,1142.0000000,455
MGNT,D,11/04/07,000000,1145.0000000,1146.9900000,1135.0000000,1135.0000000,1755
MGNT,D,12/04/07,000000,1191.7500000,1191.7500000,1134.0000000,1134.0000000,842
MGNT,D,13/04/07,000000,1137.0000000,1140.0000000,1131.0000000,1140.0000000,4865
MGNT,D,16/04/07,000000,1140.0000000,1163.0000000,1140.0000000,1158.0000000,23003
MGNT,D,17/04/07,000000,1158.0000000,1190.0000000,1158.0000000,1190.0000000,8315
MGNT,D,18/04/07,000000,1181.0000000,1200.0000000,1174.0000000,1198.0000000,33859
MGNT,D,19/04/07,000000,1172.0000000,1220.0000000,1172.0000000,1204.9900000,17035
MGNT,D,20/04/07,000000,1200.0000000,1215.0000000,1165.0000000,1215.0000000,20309
MGNT,D,23/04/07,000000,1175.0000000,1219.0000000,1165.0000000,1218.0000000,6207
MGNT,D,24/04/07,000000,1219.0000000,1219.0000000,1190.0000000,1218.0000000,16884
MGNT,D,25/04/07,000000,1213.0000000,1222.0000000,1209.0000000,1220.0000000,6575
MGNT,D,26/04/07,000000,1171.0000000,1229.9500000,1171.0000000,1221.0000000,19375
MGNT,D,27/04/07,000000,1224.0000000,1232.0000000,1206.0000000,1220.0000000,7160
MGNT,D,28/04/07,000000,1228.7800000,1230.6200000,1210.0000000,1225.0000000,1686
MGNT,D,02/05/07,000000,1208.0000000,1231.0000000,1208.0000000,1216.1000000,1621
MGNT,D,03/05/07,000000,1222.0000000,1235.0000000,1220.0000000,1225.0000000,3268
MGNT,D,04/05/07,000000,1234.9000000,1234.9000000,1218.0100000,1230.0000000,650
MGNT,D,07/05/07,000000,1240.0000000,1240.0000000,1201.0100000,1201.0100000,3546
MGNT,D,08/05/07,000000,1220.0000000,1220.0000000,1200.0000000,1205.0000000,1628
MGNT,D,10/05/07,000000,1218.0000000,1218.0000000,1200.0000000,1205.0000000,3966
MGNT,D,11/05/07,000000,1200.1300000,1215.0000000,1200.0000000,1203.0000000,4741
MGNT,D,14/05/07,000000,1205.0000000,1210.0000000,1178.0000000,1210.0000000,5896
MGNT,D,15/05/07,000000,1207.0000000,1209.0000000,1196.0000000,1197.0000000,1599
MGNT,D,16/05/07,000000,1190.0000000,1200.0000000,1187.0100000,1191.0000000,687
MGNT,D,17/05/07,000000,1190.0000000,1190.0000000,1175.5200000,1175.5300000,2328
MGNT,D,18/05/07,000000,1186.0000000,1190.0000000,1175.0000000,1178.0000000,3207
MGNT,D,21/05/07,000000,1155.0000000,1199.0000000,1150.0000000,1170.0000000,2262
MGNT,D,22/05/07,000000,1170.0000000,1170.0000000,1160.0000000,1166.0000000,881
MGNT,D,23/05/07,000000,1150.0000000,1160.0000000,1140.0000000,1146.0200000,2325
MGNT,D,24/05/07,000000,1148.0000000,1150.0000000,1054.5000000,1112.0000000,2920
MGNT,D,25/05/07,000000,1081.0000000,1134.9800000,1081.0000000,1118.0000000,2882
MGNT,D,28/05/07,000000,1125.0000000,1239.0000000,1103.0000000,1106.0000000,2535
MGNT,D,29/05/07,000000,1106.0000000,1115.0000000,1083.0000000,1083.0100000,4340
MGNT,D,30/05/07,000000,1060.0000000,1095.0000000,1025.0100000,1086.0000000,3984
MGNT,D,31/05/07,000000,1085.0000000,1094.0000000,1080.0100000,1083.0000000,1359
MGNT,D,01/06/07,000000,1083.0000000,1100.0000000,1065.0000000,1080.0300000,5226
MGNT,D,04/06/07,000000,1086.0000000,1086.0000000,1070.0000000,1070.0000000,794
MGNT,D,05/06/07,000000,1069.0000000,1071.0100000,1060.0000000,1061.0000000,2403
MGNT,D,06/06/07,000000,1060.0000000,1060.0000000,1035.0000000,1035.0000000,2159
MGNT,D,07/06/07,000000,1038.9600000,1099.0000000,1037.6100000,1060.0000000,830
MGNT,D,08/06/07,000000,1020.0000000,1050.0000000,1010.0100000,1050.0000000,2915
MGNT,D,09/06/07,000000,1050.0000000,1090.0000000,1049.0100000,1060.0000000,520
MGNT,D,13/06/07,000000,1055.0000000,1060.0000000,1043.0000000,1045.1100000,2752
MGNT,D,14/06/07,000000,1050.0000000,1050.0000000,1040.0000000,1042.0000000,4230
MGNT,D,15/06/07,000000,1040.0000000,1045.0000000,1030.0000000,1043.0000000,9425
MGNT,D,18/06/07,000000,1039.0000000,1040.0000000,1035.0000000,1040.0000000,2217
MGNT,D,19/06/07,000000,1035.0000000,1065.0000000,1034.0000000,1043.0000000,12864
MGNT,D,20/06/07,000000,1048.0000000,1120.0000000,1048.0000000,1115.0000000,7411
MGNT,D,21/06/07,000000,1060.0000000,1144.5900000,1060.0000000,1135.0000000,8492
MGNT,D,22/06/07,000000,1135.0000000,1147.0000000,1135.0000000,1135.2000000,850
MGNT,D,25/06/07,000000,1140.0000000,1140.0000000,1100.0000000,1125.0000000,7609
MGNT,D,26/06/07,000000,1104.2500000,1132.0000000,1104.2500000,1121.0000000,2149
MGNT,D,27/06/07,000000,1115.0000000,1130.0000000,1115.0000000,1118.0000000,21664
MGNT,D,28/06/07,000000,1124.0000000,1135.0000000,1124.0000000,1130.0000000,1468
MGNT,D,29/06/07,000000,1127.0000000,1140.0000000,1110.0000000,1129.0000000,1723
MGNT,D,02/07/07,000000,1130.0000000,1145.0000000,1124.0000000,1132.0000000,4010
MGNT,D,03/07/07,000000,1132.0000000,1144.0000000,1130.0000000,1144.0000000,7733
MGNT,D,04/07/07,000000,1142.0000000,1142.0000000,1124.0000000,1141.3300000,926
MGNT,D,05/07/07,000000,1141.3300000,1154.0000000,1130.0000000,1142.0000000,12159
MGNT,D,06/07/07,000000,1150.0000000,1153.0000000,1145.0000000,1150.0000000,5298
MGNT,D,09/07/07,000000,1153.0000000,1170.0000000,1153.0000000,1156.0500000,1046
MGNT,D,10/07/07,000000,1165.0000000,1176.0000000,1155.0000000,1165.0000000,2579
MGNT,D,11/07/07,000000,1155.0200000,1190.0000000,1155.0100000,1190.0000000,4421
MGNT,D,12/07/07,000000,1185.0000000,1213.0000000,1177.0000000,1205.0000000,10400
MGNT,D,13/07/07,000000,1201.0000000,1225.0000000,1181.9500000,1213.0000000,7423
MGNT,D,16/07/07,000000,1205.0000000,1214.9000000,1200.0000000,1214.0000000,6162
MGNT,D,17/07/07,000000,1220.0000000,1220.0000000,1200.0000000,1210.0000000,4581
MGNT,D,18/07/07,000000,1219.9900000,1219.9900000,1199.0000000,1199.0000000,5389
MGNT,D,19/07/07,000000,1196.9000000,1215.0000000,1195.0000000,1211.0000000,10065
MGNT,D,20/07/07,000000,1205.0000000,1211.9900000,1200.0000000,1205.0000000,11168
MGNT,D,23/07/07,000000,1210.0000000,1220.0000000,1200.0000000,1205.0000000,3254
MGNT,D,24/07/07,000000,1201.0200000,1220.0000000,1201.0200000,1201.1100000,5333
MGNT,D,25/07/07,000000,1201.0000000,1239.0000000,1180.0000000,1204.0100000,9208
MGNT,D,26/07/07,000000,1203.9800000,1210.0000000,1200.0000000,1200.0000000,909
MGNT,D,27/07/07,000000,1185.0000000,1191.0000000,1180.0000000,1180.0000000,4995
MGNT,D,30/07/07,000000,1190.0000000,1193.0000000,1151.0100000,1151.0200000,2327
MGNT,D,31/07/07,000000,1164.9700000,1191.0000000,1150.0000000,1191.0000000,4108
MGNT,D,01/08/07,000000,1191.0000000,1191.0000000,1100.0200000,1164.0000000,2279
MGNT,D,02/08/07,000000,1151.0000000,1190.0000000,1151.0000000,1190.0000000,746
MGNT,D,03/08/07,000000,1199.9900000,1205.0000000,1155.1700000,1155.1700000,816
MGNT,D,06/08/07,000000,1163.1300000,1168.9800000,1130.0000000,1168.9800000,1487
MGNT,D,07/08/07,000000,1181.0000000,1182.2500000,1130.0000000,1135.0200000,5235
MGNT,D,08/08/07,000000,1144.0000000,1157.0000000,1144.0000000,1157.0000000,2592
MGNT,D,09/08/07,000000,1158.0000000,1159.9900000,1130.1000000,1140.0000000,1471
MGNT,D,10/08/07,000000,1140.0000000,1150.0000000,1118.0000000,1122.0000000,1385
MGNT,D,13/08/07,000000,1158.1400000,1158.1400000,1118.0000000,1122.0100000,1400
MGNT,D,14/08/07,000000,1120.0100000,1125.0200000,1115.0000000,1120.0000000,2426
MGNT,D,15/08/07,000000,1115.9900000,1116.0000000,1110.0000000,1110.0000000,5721
MGNT,D,16/08/07,000000,1105.0000000,1105.0000000,1021.0000000,1032.0000000,4291
MGNT,D,17/08/07,000000,1030.0000000,1055.0000000,1012.0000000,1050.5000000,5180
MGNT,D,20/08/07,000000,1055.0000000,1055.0000000,1040.0000000,1050.0000000,819
MGNT,D,21/08/07,000000,1050.0000000,1055.0000000,1031.0000000,1035.0000000,6931
MGNT,D,22/08/07,000000,1033.0000000,1060.0000000,1033.0000000,1041.0000000,18716
MGNT,D,23/08/07,000000,1045.0000000,1050.0000000,1040.0000000,1045.0000000,10867
MGNT,D,24/08/07,000000,1030.0100000,1062.0000000,1030.0100000,1050.0000000,16000
MGNT,D,27/08/07,000000,1050.0000000,1075.0000000,1040.0000000,1040.0000000,3641
MGNT,D,28/08/07,000000,1040.0000000,1059.9900000,1021.0100000,1030.0000000,4077
