<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NLMK,D,13/02/07,000000,67.3000000,70.3900000,66.1300000,68.0000000,109700
NLMK,D,14/02/07,000000,68.2000000,69.8000000,67.3000000,68.3300000,83200
NLMK,D,15/02/07,000000,69.6900000,69.9000000,67.3600000,68.1000000,98600
NLMK,D,16/02/07,000000,68.0500000,68.7000000,66.6200000,68.2900000,89100
NLMK,D,19/02/07,000000,69.1500000,70.4000000,68.0100000,68.9700000,114700
NLMK,D,20/02/07,000000,68.5600000,69.5900000,68.4000000,69.5000000,65600
NLMK,D,21/02/07,000000,70.0000000,73.4000000,70.0000000,72.9000000,364000
NLMK,D,22/02/07,000000,73.5500000,74.9500000,72.9100000,73.4900000,192800
NLMK,D,26/02/07,000000,74.8700000,77.8300000,74.0000000,77.2400000,271400
NLMK,D,27/02/07,000000,77.2500000,77.2500000,71.0000000,72.0000000,592000
NLMK,D,28/02/07,000000,70.3400000,72.8700000,68.0000000,70.0000000,591400
NLMK,D,01/03/07,000000,70.0000000,71.8000000,66.5600000,68.0100000,439500
NLMK,D,02/03/07,000000,68.4000000,70.2100000,67.0000000,67.2500000,219300
NLMK,D,05/03/07,000000,66.7800000,66.7800000,61.0000000,63.9000000,184500
NLMK,D,06/03/07,000000,64.9900000,66.9900000,63.6000000,65.3000000,287600
NLMK,D,07/03/07,000000,65.8000000,66.0000000,64.0100000,64.7300000,195300
NLMK,D,09/03/07,000000,67.5000000,72.0000000,65.9100000,71.2000000,1001800
NLMK,D,12/03/07,000000,71.1800000,72.5000000,70.5500000,71.2500000,441300
NLMK,D,13/03/07,000000,71.2000000,72.8000000,70.5600000,72.5500000,413800
NLMK,D,14/03/07,000000,68.0000000,69.9900000,68.0000000,69.5000000,258200
NLMK,D,15/03/07,000000,70.9500000,72.7700000,69.5000000,70.8000000,187100
NLMK,D,16/03/07,000000,71.0000000,72.5000000,70.8100000,72.4500000,184500
NLMK,D,19/03/07,000000,72.5000000,73.9300000,71.8100000,73.3000000,63700
NLMK,D,20/03/07,000000,73.8000000,73.8000000,71.3600000,72.1900000,648500
NLMK,D,21/03/07,000000,71.5200000,72.5200000,71.2500000,71.4600000,366700
NLMK,D,22/03/07,000000,72.2000000,73.2000000,70.8000000,73.0000000,455500
NLMK,D,23/03/07,000000,73.0000000,75.0000000,73.0000000,75.0000000,204700
NLMK,D,26/03/07,000000,74.0400000,75.0000000,74.0400000,74.9900000,172100
NLMK,D,27/03/07,000000,74.9900000,74.9900000,73.0000000,74.0000000,219600
NLMK,D,28/03/07,000000,74.3000000,75.6900000,73.9600000,74.8000000,62600
NLMK,D,29/03/07,000000,75.0000000,77.0000000,75.0000000,75.4000000,116100
NLMK,D,30/03/07,000000,76.1900000,76.9000000,74.1000000,75.4800000,227200
NLMK,D,02/04/07,000000,73.0100000,75.5000000,73.0100000,75.5000000,461000
