<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ROSN,D,13/02/07,000000,226.0000000,229.9300000,224.3200000,229.2200000,2119518
ROSN,D,14/02/07,000000,230.2500000,231.0000000,228.1100000,228.9000000,688664
ROSN,D,15/02/07,000000,229.0000000,230.0200000,226.2100000,226.5000000,1046652
ROSN,D,16/02/07,000000,227.2300000,227.2300000,225.0100000,226.3500000,1320964
ROSN,D,19/02/07,000000,227.3000000,229.2500000,226.2500000,226.4000000,1201300
ROSN,D,20/02/07,000000,226.4400000,226.8900000,225.2000000,226.2800000,804413
ROSN,D,21/02/07,000000,226.9000000,234.2500000,226.5100000,232.0000000,4736191
ROSN,D,22/02/07,000000,233.2500000,237.9000000,233.2300000,236.3900000,3980595
ROSN,D,26/02/07,000000,237.2600000,239.7000000,233.8200000,234.8500000,2830405
ROSN,D,27/02/07,000000,233.5000000,233.8900000,226.1100000,227.5000000,3611809
ROSN,D,28/02/07,000000,222.9500000,224.7400000,216.0000000,221.5000000,5257746
ROSN,D,01/03/07,000000,219.8000000,224.9000000,206.0000000,211.0000000,6501321
ROSN,D,02/03/07,000000,212.4900000,214.4900000,208.2000000,211.5500000,5537438
ROSN,D,05/03/07,000000,206.5000000,208.3000000,198.5000000,201.5100000,4589446
ROSN,D,06/03/07,000000,203.1000000,205.5000000,203.0000000,204.1000000,3473038
ROSN,D,07/03/07,000000,206.2500000,215.7500000,204.5000000,212.5000000,4603859
ROSN,D,09/03/07,000000,216.2200000,219.0000000,214.6200000,217.9500000,3976810
ROSN,D,12/03/07,000000,216.5500000,219.4700000,212.3000000,213.5600000,2833223
ROSN,D,13/03/07,000000,215.0000000,216.2000000,212.2500000,213.9900000,2483540
ROSN,D,14/03/07,000000,205.0000000,206.9900000,200.0000000,205.7000000,4999189
ROSN,D,15/03/07,000000,208.2200000,210.0000000,206.1000000,207.4000000,2117881
ROSN,D,16/03/07,000000,207.4000000,213.0000000,205.2500000,209.6900000,3266594
ROSN,D,19/03/07,000000,211.9000000,216.2500000,210.7800000,215.9000000,2751420
ROSN,D,20/03/07,000000,216.2500000,219.0100000,212.5800000,213.8900000,6655549
ROSN,D,21/03/07,000000,214.8900000,218.0000000,214.5300000,216.3000000,4085577
ROSN,D,22/03/07,000000,218.2500000,219.2500000,214.8600000,216.0000000,6916637
ROSN,D,23/03/07,000000,217.0000000,219.0000000,214.2500000,218.1600000,9538400
ROSN,D,26/03/07,000000,219.2000000,222.2500000,218.6000000,219.3900000,10522931
ROSN,D,27/03/07,000000,219.0900000,221.9700000,215.1400000,216.0000000,8083551
ROSN,D,28/03/07,000000,216.4000000,218.5000000,216.0000000,216.3000000,5399636
ROSN,D,29/03/07,000000,216.4500000,217.4700000,215.7000000,217.4700000,3549517
ROSN,D,30/03/07,000000,219.2500000,219.2500000,215.2500000,216.2000000,5512724
ROSN,D,02/04/07,000000,215.9000000,217.5200000,214.3000000,217.5000000,2358803
ROSN,D,03/04/07,000000,218.0900000,219.2500000,215.8100000,217.0000000,5720715
ROSN,D,04/04/07,000000,218.2000000,218.5000000,216.2600000,216.2600000,2881521
ROSN,D,05/04/07,000000,217.0000000,217.7800000,215.5000000,215.9700000,1749972
ROSN,D,06/04/07,000000,215.8800000,216.2500000,214.8000000,215.4500000,1537238
ROSN,D,09/04/07,000000,215.5000000,216.3000000,214.8100000,215.1000000,3154194
ROSN,D,10/04/07,000000,214.5400000,214.5900000,210.8800000,213.8600000,6104883
ROSN,D,11/04/07,000000,214.2000000,215.5000000,214.0000000,214.0600000,3853572
ROSN,D,12/04/07,000000,213.4000000,220.9900000,212.5200000,217.8000000,11453201
ROSN,D,13/04/07,000000,221.2500000,230.5000000,219.0000000,230.2100000,40239341
ROSN,D,16/04/07,000000,232.7000000,235.9900000,229.3000000,234.6000000,38125387
ROSN,D,17/04/07,000000,234.6000000,235.0000000,227.0200000,229.2500000,24005271
ROSN,D,18/04/07,000000,228.8000000,229.6000000,225.1000000,227.1600000,8244516
ROSN,D,19/04/07,000000,224.6800000,224.6800000,219.1500000,219.9700000,10513524
ROSN,D,20/04/07,000000,222.3000000,226.4500000,222.2000000,223.8500000,5148617
ROSN,D,23/04/07,000000,225.2100000,225.9800000,222.0000000,224.2000000,4092899
ROSN,D,24/04/07,000000,225.0000000,232.2000000,224.8000000,228.7000000,17671980
ROSN,D,25/04/07,000000,226.2500000,234.4500000,226.2500000,233.3500000,15500968
ROSN,D,26/04/07,000000,235.2500000,238.5000000,229.5600000,229.9900000,18914032
ROSN,D,27/04/07,000000,230.2100000,233.8900000,218.1100000,219.7000000,16979754
ROSN,D,28/04/07,000000,222.2500000,223.9000000,221.1000000,223.7900000,4115704
ROSN,D,02/05/07,000000,221.8000000,223.3900000,219.3000000,220.0000000,3891502
ROSN,D,03/05/07,000000,221.2500000,226.2500000,220.6000000,223.6500000,8583740
ROSN,D,04/05/07,000000,224.4700000,224.4700000,221.4000000,221.7000000,4406919
ROSN,D,07/05/07,000000,221.9700000,221.9700000,219.4000000,219.9900000,2379873
ROSN,D,08/05/07,000000,221.1300000,222.3700000,217.2100000,217.2500000,5357347
ROSN,D,10/05/07,000000,217.9000000,223.7800000,214.0000000,214.3500000,14689884
ROSN,D,11/05/07,000000,211.7000000,214.0000000,208.6000000,209.6000000,9435264
ROSN,D,14/05/07,000000,213.0000000,213.9000000,208.5100000,209.8000000,5549249
ROSN,D,15/05/07,000000,208.4900000,209.7800000,204.7200000,206.1000000,8498772
ROSN,D,16/05/07,000000,207.1500000,212.0100000,201.0500000,211.9700000,21100841
ROSN,D,17/05/07,000000,212.2500000,212.2500000,206.6000000,207.2700000,8921944
