<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20/07/07,000000,109.0000000,111.1100000,108.0100000,109.2000000,20241338
SBER,D,23/07/07,000000,109.8900000,112.6500000,108.1000000,112.0000000,35035782
SBER,D,24/07/07,000000,112.1000000,113.0500000,109.4700000,109.5300000,31682649
SBER,D,25/07/07,000000,108.5000000,109.9800000,107.1000000,109.6300000,39670347
SBER,D,26/07/07,000000,110.0000000,110.4200000,103.3000000,104.1800000,49852134
SBER,D,27/07/07,000000,102.0000000,103.8300000,100.8100000,102.4100000,53653371
SBER,D,30/07/07,000000,102.8000000,104.2900000,100.3300000,102.0000000,30582031
SBER,D,31/07/07,000000,103.5300000,105.6400000,102.9000000,105.5000000,33044253
SBER,D,01/08/07,000000,102.6500000,102.9100000,101.5500000,101.5900000,36491904
SBER,D,02/08/07,000000,102.5500000,103.3600000,101.7800000,102.3000000,21534531
SBER,D,03/08/07,000000,103.0500000,103.5300000,101.9100000,102.2800000,28793494
SBER,D,06/08/07,000000,100.8800000,101.4100000,99.9800000,100.5400000,28217992
SBER,D,07/08/07,000000,101.5900000,102.5000000,99.9800000,100.6500000,25667246
SBER,D,08/08/07,000000,101.6500000,102.9100000,101.6500000,102.8000000,33681679
SBER,D,09/08/07,000000,103.5300000,103.8900000,98.7700000,99.5700000,50542473
SBER,D,10/08/07,000000,97.5800000,97.9900000,94.3100000,95.5500000,73657250
SBER,D,13/08/07,000000,96.6000000,97.8000000,95.5500000,97.3900000,38371710
SBER,D,14/08/07,000000,96.1900000,97.3700000,96.0000000,96.8500000,19496338
SBER,D,15/08/07,000000,95.0700000,95.2800000,93.2300000,94.5000000,29288565
SBER,D,16/08/07,000000,92.5000000,92.5500000,89.5200000,90.5100000,65291102
SBER,D,17/08/07,000000,90.5100000,95.1800000,88.3100000,94.8000000,110860832
SBER,D,20/08/07,000000,95.2500000,96.4400000,93.1000000,93.1900000,41327726
SBER,D,21/08/07,000000,94.0100000,94.4000000,89.6000000,91.4000000,65733178
SBER,D,22/08/07,000000,91.6900000,93.8000000,90.5500000,93.6000000,43920603
SBER,D,23/08/07,000000,94.7600000,96.0800000,93.5100000,94.2700000,61224817
SBER,D,24/08/07,000000,93.3000000,94.3000000,92.2600000,93.8100000,36063484
SBER,D,27/08/07,000000,95.1800000,95.6000000,94.0000000,95.1100000,36748521
SBER,D,28/08/07,000000,94.8700000,95.0800000,93.7100000,94.4000000,28465966
SBER,D,29/08/07,000000,92.1100000,94.4000000,92.0100000,93.9400000,33949315
SBER,D,30/08/07,000000,95.0000000,96.0000000,94.2100000,94.3000000,37660521
SBER,D,31/08/07,000000,95.5300000,97.7300000,95.0500000,97.3900000,47145511
SBER,D,03/09/07,000000,97.8000000,98.9700000,97.1200000,98.0000000,34356096
SBER,D,04/09/07,000000,97.9100000,98.2500000,96.7500000,97.2000000,23582170
SBER,D,05/09/07,000000,97.5500000,97.8000000,94.9000000,95.0000000,33613876
SBER,D,06/09/07,000000,95.1700000,97.1000000,95.1000000,96.5100000,36581566
SBER,D,07/09/07,000000,96.5000000,96.6000000,93.4000000,94.2000000,39201911
SBER,D,10/09/07,000000,93.6000000,94.8900000,93.2000000,94.0900000,28681036
SBER,D,11/09/07,000000,94.7000000,94.9600000,94.1600000,94.9200000,12305047
SBER,D,12/09/07,000000,95.1200000,95.4400000,93.6500000,94.2000000,20212724
SBER,D,13/09/07,000000,94.4000000,96.6000000,94.1100000,96.3300000,26758715
SBER,D,14/09/07,000000,96.6000000,96.8500000,95.6500000,96.1000000,30248491
SBER,D,17/09/07,000000,96.1000000,96.1900000,94.6000000,94.8700000,21990960
SBER,D,18/09/07,000000,94.6000000,98.0600000,94.5000000,97.4000000,37469943
SBER,D,19/09/07,000000,99.8500000,103.8000000,99.8000000,103.7700000,119552760
SBER,D,20/09/07,000000,103.1000000,103.2900000,100.8500000,102.3000000,65065656
SBER,D,21/09/07,000000,101.5400000,102.7000000,101.5200000,101.8300000,46007214
SBER,D,24/09/07,000000,102.0300000,103.5500000,101.5000000,101.8500000,46712239
