<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALRS,D,29/11/11,000000,35.0000000,40.6090000,35.0000000,40.6090000,19100
ALRS,D,30/11/11,000000,48.3200000,54.6000000,42.0000000,54.6000000,76800
ALRS,D,01/12/11,000000,67.0000000,76.4400000,65.5500000,76.4400000,11800
ALRS,D,02/12/11,000000,100.1000000,107.0160000,45.8640000,45.8640000,1898500
ALRS,D,05/12/11,000000,37.5500000,41.9850000,36.7000000,37.1000000,1547100
ALRS,D,06/12/11,000000,37.0000000,37.1000000,34.7500000,34.8000000,831100
ALRS,D,07/12/11,000000,34.7010000,36.0000000,34.5010000,35.3000000,467700
ALRS,D,08/12/11,000000,35.3000000,35.3000000,34.7500000,34.8210000,181100
ALRS,D,09/12/11,000000,34.9990000,35.2400000,34.2000000,34.3900000,631700
ALRS,D,12/12/11,000000,34.3040000,34.7970000,33.3000000,33.4900000,225800
ALRS,D,13/12/11,000000,33.0030000,34.0000000,30.5010000,33.9000000,665500
ALRS,D,14/12/11,000000,33.0330000,33.8000000,32.6200000,33.3870000,103800
ALRS,D,15/12/11,000000,33.3000000,33.5000000,32.0300000,32.9010000,357600
ALRS,D,16/12/11,000000,32.9500000,32.9500000,31.7570000,32.1980000,134300
ALRS,D,19/12/11,000000,31.6660000,31.7980000,30.7100000,31.3040000,133300
ALRS,D,20/12/11,000000,31.0200000,31.4990000,30.3510000,31.3470000,150500
ALRS,D,21/12/11,000000,31.2870000,31.9980000,30.5500000,31.0490000,236800
ALRS,D,22/12/11,000000,31.0000000,31.0000000,30.3530000,30.6570000,107700
ALRS,D,23/12/11,000000,30.6000000,30.9000000,30.3000000,30.3010000,149300
ALRS,D,26/12/11,000000,30.0130000,30.4950000,30.0120000,30.3470000,181900
ALRS,D,27/12/11,000000,30.0510000,30.3000000,30.0000000,30.0000000,18300
ALRS,D,28/12/11,000000,30.3790000,30.4000000,30.0000000,30.1110000,595400
ALRS,D,29/12/11,000000,30.0210000,30.3500000,29.4000000,30.2000000,404800
ALRS,D,30/12/11,000000,30.4800000,31.0000000,30.4800000,31.0000000,572000
ALRS,D,03/01/12,000000,31.0000000,31.0000000,30.3540000,30.9900000,143900
ALRS,D,04/01/12,000000,30.7110000,31.3840000,30.6000000,31.0000000,41600
ALRS,D,05/01/12,000000,30.9980000,31.0000000,29.4000000,29.9950000,313400
ALRS,D,06/01/12,000000,29.9200000,30.1700000,29.7000000,30.0930000,44600
ALRS,D,09/01/12,000000,30.0480000,30.0830000,29.8000000,30.0700000,20200
