<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FEES,D,16/07/08,000000,0.4300000,0.4300000,0.3470000,0.3540000,290450700
FEES,D,17/07/08,000000,0.3590000,0.3750000,0.3520000,0.3690000,290744600
FEES,D,18/07/08,000000,0.3710000,0.3710000,0.3530000,0.3550000,90937500
FEES,D,21/07/08,000000,0.3550000,0.3630000,0.3450000,0.3480000,74725100
FEES,D,22/07/08,000000,0.3440000,0.3490000,0.3280000,0.3310000,86834100
FEES,D,23/07/08,000000,0.3320000,0.3380000,0.3100000,0.3120000,93575300
FEES,D,24/07/08,000000,0.3100000,0.3100000,0.2970000,0.3000000,95309900
FEES,D,25/07/08,000000,0.2930000,0.2940000,0.2640000,0.2880000,142223800
FEES,D,28/07/08,000000,0.2900000,0.3030000,0.2770000,0.2810000,99964900
FEES,D,29/07/08,000000,0.2800000,0.2940000,0.2660000,0.2800000,139172200
FEES,D,30/07/08,000000,0.2870000,0.3080000,0.2810000,0.2930000,325489100
FEES,D,31/07/08,000000,0.3000000,0.3150000,0.2940000,0.3050000,236968300
FEES,D,01/08/08,000000,0.3040000,0.3350000,0.3000000,0.3320000,388838200
FEES,D,04/08/08,000000,0.3290000,0.3500000,0.3110000,0.3200000,272960500
FEES,D,05/08/08,000000,0.3200000,0.3250000,0.3000000,0.3050000,140700100
FEES,D,06/08/08,000000,0.3160000,0.3180000,0.2970000,0.3090000,111744900
FEES,D,07/08/08,000000,0.3090000,0.3340000,0.3090000,0.3310000,274254500
FEES,D,08/08/08,000000,0.3330000,0.3470000,0.3220000,0.3230000,293439600
FEES,D,11/08/08,000000,0.3230000,0.3260000,0.2980000,0.3050000,383431600
FEES,D,12/08/08,000000,0.3070000,0.3470000,0.3040000,0.3440000,408485000
FEES,D,13/08/08,000000,0.3440000,0.3620000,0.3300000,0.3480000,481994600
FEES,D,14/08/08,000000,0.3520000,0.3730000,0.3460000,0.3560000,714590600
FEES,D,15/08/08,000000,0.3630000,0.3780000,0.3570000,0.3740000,716141600
FEES,D,18/08/08,000000,0.3750000,0.3820000,0.3690000,0.3740000,127278000
FEES,D,19/08/08,000000,0.3680000,0.3700000,0.3400000,0.3510000,359370200
FEES,D,20/08/08,000000,0.3550000,0.3570000,0.3430000,0.3480000,123966900
FEES,D,21/08/08,000000,0.3500000,0.3500000,0.3330000,0.3440000,132519900
FEES,D,22/08/08,000000,0.3430000,0.3440000,0.3320000,0.3350000,55339800
FEES,D,25/08/08,000000,0.3390000,0.3400000,0.3000000,0.3080000,113854300
FEES,D,26/08/08,000000,0.3000000,0.3060000,0.2810000,0.2960000,251052200
FEES,D,27/08/08,000000,0.3000000,0.3090000,0.2890000,0.3000000,137087400
FEES,D,28/08/08,000000,0.3070000,0.3240000,0.2980000,0.3110000,289079500
FEES,D,29/08/08,000000,0.3120000,0.3320000,0.3030000,0.3300000,248394900
FEES,D,01/09/08,000000,0.3260000,0.3340000,0.3230000,0.3290000,96645400
FEES,D,02/09/08,000000,0.3260000,0.3310000,0.3160000,0.3300000,69062100
FEES,D,03/09/08,000000,0.3280000,0.3300000,0.3190000,0.3260000,117372400
FEES,D,04/09/08,000000,0.3250000,0.3360000,0.3130000,0.3200000,288422500
FEES,D,05/09/08,000000,0.3080000,0.3160000,0.2740000,0.3050000,352086700
FEES,D,08/09/08,000000,0.3150000,0.3180000,0.2970000,0.3010000,139101500
FEES,D,09/09/08,000000,0.2970000,0.2980000,0.2700000,0.2700000,88825200
FEES,D,10/09/08,000000,0.2670000,0.2740000,0.2330000,0.2540000,355167600
FEES,D,11/09/08,000000,0.2600000,0.2600000,0.2320000,0.2350000,196908800
FEES,D,12/09/08,000000,0.2450000,0.2500000,0.2180000,0.2290000,575978300
FEES,D,15/09/08,000000,0.2210000,0.2260000,0.1960000,0.1990000,222956500
FEES,D,16/09/08,000000,0.1930000,0.1930000,0.1250000,0.1410000,795767500
FEES,D,17/09/08,000000,0.1560000,0.1600000,0.1100000,0.1180000,182426600
FEES,D,19/09/08,000000,0.1390000,0.1790000,0.1390000,0.1750000,499646900
FEES,D,22/09/08,000000,0.1870000,0.2100000,0.1670000,0.1870000,755040400
FEES,D,23/09/08,000000,0.1820000,0.1900000,0.1700000,0.1840000,634489100
FEES,D,24/09/08,000000,0.1850000,0.1900000,0.1760000,0.1850000,277630700
FEES,D,25/09/08,000000,0.1830000,0.1900000,0.1760000,0.1850000,180581800
FEES,D,26/09/08,000000,0.1810000,0.1850000,0.1770000,0.1770000,84850800
FEES,D,29/09/08,000000,0.1760000,0.1800000,0.1620000,0.1650000,174847500
FEES,D,30/09/08,000000,0.1520000,0.1620000,0.1400000,0.1560000,956990000
FEES,D,01/10/08,000000,0.1550000,0.1690000,0.1460000,0.1470000,530115600
FEES,D,02/10/08,000000,0.1490000,0.1510000,0.1310000,0.1500000,450921200
FEES,D,03/10/08,000000,0.1400000,0.1450000,0.1340000,0.1440000,181386500
