<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,13/02/07,000000,2068.8000000,2134.0000000,2055.0000000,2125.9000000,3688536
LKOH,D,14/02/07,000000,2143.0000000,2148.9000000,2102.2100000,2139.0000000,2346955
LKOH,D,15/02/07,000000,2135.0000000,2143.0000000,2095.0000000,2098.8000000,2029363
LKOH,D,16/02/07,000000,2108.8900000,2117.8800000,2080.0300000,2106.5000000,1780339
LKOH,D,19/02/07,000000,2119.9800000,2134.0000000,2105.9000000,2109.9000000,1447390
LKOH,D,20/02/07,000000,2110.1100000,2116.3000000,2071.4500000,2075.0000000,1836825
LKOH,D,21/02/07,000000,2085.0000000,2108.0000000,2075.0000000,2093.0000000,1737554
LKOH,D,22/02/07,000000,2110.7000000,2129.9000000,2106.1000000,2123.9000000,2250582
LKOH,D,26/02/07,000000,2159.9800000,2215.7500000,2152.0000000,2209.7300000,4668446
LKOH,D,27/02/07,000000,2188.0000000,2195.0000000,2095.2500000,2118.5000000,5396875
LKOH,D,28/02/07,000000,2075.0000000,2094.0000000,2022.0000000,2081.9600000,5136749
LKOH,D,01/03/07,000000,2070.0200000,2121.0000000,1955.5600000,2012.0000000,6340026
LKOH,D,02/03/07,000000,2039.9800000,2067.0000000,1990.0000000,2045.0100000,5599194
LKOH,D,05/03/07,000000,1969.8700000,2000.0000000,1910.0000000,1999.9900000,4191908
LKOH,D,06/03/07,000000,2020.0000000,2056.9800000,2007.0000000,2048.0000000,3510510
LKOH,D,07/03/07,000000,2067.7000000,2071.0000000,2021.2000000,2052.0000000,2412427
LKOH,D,09/03/07,000000,2081.0000000,2130.9900000,2069.0000000,2100.0000000,3408758
LKOH,D,12/03/07,000000,2090.0000000,2111.8800000,2056.0000000,2069.4100000,2576000
LKOH,D,13/03/07,000000,2078.8000000,2104.9900000,2055.0100000,2077.5500000,3067506
LKOH,D,14/03/07,000000,1990.0000000,2029.7700000,1974.0000000,2029.7700000,4913925
LKOH,D,15/03/07,000000,2051.7700000,2060.4300000,2025.2500000,2037.0000000,3200951
LKOH,D,16/03/07,000000,2030.0000000,2066.0000000,2020.0000000,2050.9500000,2271345
LKOH,D,19/03/07,000000,2061.0000000,2072.8000000,2041.0000000,2069.0000000,2107033
LKOH,D,20/03/07,000000,2075.0000000,2085.0000000,2042.2200000,2064.0000000,2223451
LKOH,D,21/03/07,000000,2070.0100000,2085.8800000,2063.0000000,2078.0000000,1870314
LKOH,D,22/03/07,000000,2117.0000000,2143.0000000,2107.5600000,2139.0000000,2887068
LKOH,D,23/03/07,000000,2146.0000000,2186.9800000,2125.5300000,2182.0000000,3126288
LKOH,D,26/03/07,000000,2193.1500000,2209.6700000,2176.1000000,2199.0200000,1856894
LKOH,D,27/03/07,000000,2185.0000000,2194.0000000,2155.0000000,2168.1200000,1545137
LKOH,D,28/03/07,000000,2175.0000000,2227.0000000,2172.0000000,2203.0000000,3444274
LKOH,D,29/03/07,000000,2203.0000000,2262.0000000,2197.5200000,2254.0000000,3591296
LKOH,D,30/03/07,000000,2281.0000000,2285.9900000,2225.0000000,2239.0000000,3322251
LKOH,D,02/04/07,000000,2243.0000000,2249.1500000,2220.0200000,2229.4000000,1582878
LKOH,D,03/04/07,000000,2236.0000000,2241.9000000,2168.0000000,2185.0000000,3073009
LKOH,D,04/04/07,000000,2191.0000000,2204.9800000,2171.3700000,2174.0000000,2773740
